제조사,비행기모델,ICAO CODE,IATA CODE,비행기구분,비행기크기,CLASS,엔진타입,엔진수,최초운항일,생산수량,단가,상태,조종석수,승객수,길이(m),높이(m),운송범위(km)
BELL,Bell 429,B429,BH2,Helicopter,LOW,Multipurpose utility helicopter,Turboprop/Turboshaft,2,2007-02-27,325,7.5,서비스중,1,6,12.7,4,722
BRITISH AEROSPACE,BAe-146-100,B461,141,LandPlane,MEDIUM,Airliner,Jet,4,1981-09-03,166,,서비스중,2,82,26.2,8.6,3870
BRITISH AEROSPACE,BAe-146-200,B462,142,LandPlane,MEDIUM,Airliner,Jet,4,1982-08-01,221,,서비스중,2,100,28.6,8.6,3650
BRITISH AEROSPACE,BAe-146-300,B463,143,LandPlane,MEDIUM,Airliner,Jet,4,,,,서비스중,2,112,31,8.6,3340
BOEING,Boeing 707,B703,703,LandPlane,HIGH,Narrow-body airliner,Jet,4,1957-12-20,865,41,서비스중,3,189,44.2,12.7,6700
BOEING,Boeing 717,B712,,,,Narrow-bodyjet airliner,,,1988-09-02,156,,서비스중,2,106,37.8,9,1430
BOEING,Boeing 720B,B720,B72,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,4,1959-11-23,154,30.1,서비스중,3,156,41.7,12.6,5900
BOEING,Boeing 727-100,B721,721,LandPlane,MEDIUM,Narrow-body airliner,Jet,3,1963-02-09,571,22,서비스중,3,125,40.6,10.4,2250
BOEING,Boeing 727-200,B722,722,LandPlane,MEDIUM,Narrow-body airliner,Jet,3,1967-07-27,1260,,서비스중,3,155,46.7,10.7,3500
BOEING,Boeing 737-200,B732,732,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1967-08-08,991,,서비스중,2,136,30.5,11,4800
BOEING,Boeing 737-300,B733,733,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1984-02-24,1113,,서비스중,2,149,37,11.1,4398
BOEING,Boeing 737-400,B734,734,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1988-02-19,486,,서비스중,2,188,37,11.1,4398
BOEING,Boeing 737-500,B735,735,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1989-06-30,389,,서비스중,2,145,37,11.1,4398
BOEING,Boeing 737-600,B736,736,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1988-01-22,69,,서비스중,2,149,42,12,4398
BOEING,Boeing 737-700,B737,73G,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1997-02-09,1128,,서비스중,2,149,42,12,5575
BOEING,Boeing 737-800,B738,738,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1997-07-31,4991,,서비스중,2,189,42,12,5575
BOEING,Boeing 737-900,B739,739,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,2000-08-03,52,,서비스중,2,220,42,12,5575
BOEING,Boeing 747-100,B741,741,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1969-02-09,176,146.7,서비스중,3,440,70.7,19.3,8560
BOEING,Boeing 747-200,B742,742,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,,393,175.2,서비스중,3,550,70.7,19.3,12150
BOEING,Boeing 747-300,B743,743,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1982-10-05,81,219.9,서비스중,3,550,70.7,19.3,11720
BOEING,Boeing 747-400,B744,744,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1989-02-01,694,,서비스중,2,660,70.7,19.4,14200
BOEING,Boeing 747-8I,B748,74H,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,2010-02-08,47,,서비스중,2,495,76.3,19.4,14320
BOEING,Boeing 747SR,B74R,74R,LandPlane,HIGH,Wide-bodyjet airliner,Jet,4,1973-08-31,29,,서비스중,3,400,56.3,19.9,10800
AIRBUS,A310-200,A310,312,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,1982-04-03,255,,Production completed 1998),2,220,46.7,15.8,6500
BOEING,Boeing 757-200,B752,752,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1982-02-19,994,65,서비스중,2,239,47.3,13.6,7250
BOEING,Boeing 757-300,B753,753,LandPlane,MEDIUM,Narrow-body airliner,Jet,2,1998-08-02,55,80,서비스중,2,295,54.4,13.6,6295
BOEING,Boeing 767-200,B762,762,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,1981-09-26,287,,서비스중,2,290,48.5,5.4,7200
BOEING,Boeing 767-300,B763,763,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,,862,220.3,서비스중,2,351,54.9,5.4,7200
BOEING,Boeing 767-400ER,B764,764,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,,38,,서비스중,2,375,61.4,5.4,10415
BOEING,Boeing 777-200/ 777-200ER,B772,772,LandPlane,HIGH,Wide-body airliner,Jet,2,1994-06-12,510,306.6,서비스중,2,440,63.7,18.5,9700
BOEING,Boeing 777-300,B773,773,LandPlane,HIGH,Wide-body airliner,Jet,2,1997-10-16,60,375.5,서비스중,2,550,73.9,18.5,11165
BOEING,Boeing 777-8,B778,778,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,2020-01-25,2,410.2,서비스중,2,384,69.8,19.5,16170
BOEING,Boeing 777-9,B779,779,LandPlane,HIGH,Wide-bodyjet airliner,Jet,2,,,442.2,서비스중,2,426,76.7,19.7,13500
BOEING,Boeing 777-200  Freighter,B77L,77X,LandPlane,HIGH,all-cargo version of the twinjet,Jet,2,,186,,서비스중,2,440,63.7,18.6,9200
BOEING,Boeing 777-300ER,B77W,77W,LandPlane,HIGH,Special Freighter,Jet,2,,820,,서비스중,2,550,73.7,18.5,13649
BOEING,Boeing 787-8,B788,788,LandPlane,HIGH,Wide-body jet airliner,Jet,2,2009-12-15,374,,서비스중,2,359,56.7,16.9,13620
BOEING,Boeing 787-9,B789,789,LandPlane,HIGH,Wide-body jet airliner,Jet,2,2013-09-17,542,,서비스중,2,406,62.8,17,14140
BOEING,Boeing 787-10,B78X,781,LandPlane,HIGH,Wide-body jet airliner,Jet,2,2017-06-08,56,,서비스중,2,440,68.3,17,11910
AIRBUS,A220-100,BCS1,221,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,2013-09-16,40,81,서비스중,2,135,35,11.5,6297
AIRBUS,A220-300,BCS3,223,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,,76,91.5,서비스중,2,160,38.7,11.5,6204
BEECH,Baron 55,BE55,,LandPlane,LOW,Civilutility aircraft,Piston,2,1960-02-29,6884,14.9,서비스중,1,5,8.5,2.9,1745
BEECH,Baron 58,BE58,,LandPlane,LOW,Civilutility aircraft,Piston,2,,,,서비스중,1,5,8.5,2.9,
BERIEV,Be-200 Altair ,BER2,,Amphibian,MEDIUM,Multiroleamphibious aircraft,Jet,2,1998-09-24,17,,서비스중,2,,32,8.9,2100
AMERICAN CHAMPION,"8KCAB Decathlon, 8GCBC Scout",BL8,,LandPlane,LOW,Lightutility aircraft,Piston,1,,,,서비스중,1,1,7,2.9,684
BOEING,Boeing 747 LCF Dreamlifter,BLCF,74B,LandPlane,HIGH,Outsize cargofreight aircraft,Jet,4,2006-09-09,4,,서비스중,2,,71.7,21.5,7800
Britten-Norman,BN-2A/B Islander,BN2P,BNI,LandPlane,LOW,Utility aircraft/airliner,Piston,2,1965-06-13,1280,3,서비스중,1,10,10.9,4.2,241
LOCKHEED,L-182 / 282 / 382 (L-100) Hercules,C130,LOH,LandPlane,MEDIUM,Transport aircraft,Turboprop/Turboshaft,4,1964-04-20,114,6,서비스중,4,,34.4,11.7,2470
CESSNA,Cessna 172,C172,CN1,LandPlane,LOW,Civilutility aircraft,Piston,1,1955-06-12,44000,0.3,서비스중,1,3,8.3,2.7,1289
CESSNA,Cessna 182 Skylane,C182,CN1,LandPlane,LOW,Light utility aircraft,Piston,1,,23237,0.5,서비스중,1,3,8.8,2.8,1720
CESSNA,Cessna 206 Stationair,C206,CN1,LandPlane,LOW,Light aircraft,Piston,1,,8509,0.7,서비스중,1,5,8.6,2.8,1350
CESSNA,Cessna 208 Caravan,C208,CN1,LandPlane,LOW,utility aircraft,Turboprop/Turboshaft,1,1982-12-09,2600,2.7,서비스중,2,9,11.5,4.5,1982
CASA / IPTN,CASA / IPTN 212 Aviocar,C212,CS2,LandPlane,MEDIUM,Medium STOLmilitary transport aircraft,Turboprop/Turboshaft,2,1971-03-26,483,8,서비스중,2,26,16.2,6.6,835
CESSNA,Cessna Citation CJ2,C25A,CNJ,LandPlane,LOW,Business jet,Jet,2,1991-04-29,,7,서비스중,1,9,14.5,4.3,3298
CESSNA,Cessna Citation CJ3,C25B,CNJ,LandPlane,LOW,Business jet,Jet,2,,,8.7,서비스중,1,9,15.6,4.6,3778
CESSNA,Cessna Citation CJ4,C25C,CNJ,LandPlane,MEDIUM,Business jet,Jet,2,,,9.7,서비스중,1,10,16.3,4.7,4010
LOCKHEED MARTIN,Lockheed Martin C-130J Hercules,C30J,LOH,LandPlane,MEDIUM,"Military transport,aerial refuelling",Turboprop/Turboshaft,4,1996-04-05,400,167,서비스중,3,92,29.8,11.8,3300
CESSNA,Cessna CitationJet,C525,CNJ,LandPlane,LOW,Business jet,Jet,2,1991-04-29,1450,5.2,서비스중,2,7,13,4.2,2871
CESSNA,Cessna Citation Excel,C56X,CNJ,LandPlane,MEDIUM,Business jet,Jet,2,1996-02-29,908,13.7,서비스중,2,9,16,5.2,3441
CESSNA,Cessna Citation Sovereign,C680,CNJ,LandPlane,MEDIUM,Business jet,Jet,2,2002-02-01,349,18.8,서비스중,2,12,19.4,6.2,5900
CESSNA,172 Cutlass RG,C72R,CN1,LandPlane,LOW,,Piston,1,,,,서비스중,,,,,
CESSNA,177 Cardinal RG,C77R,CN1,LandPlane,LOW,,Piston,1,,,,서비스중,,,,,
COMAC,COMAC C-919,C919,,LandPlane,MEDIUM,Narrow-bodytwinjet airliner,Jet,2,2017-05-05,,,서비스중,2,168,38.9,12,4075
AMERICAN CHAMPION,"7GCAA, 7GCBC, 7KCAB Citabria",CH7B,,LandPlane,LOW,Lightutility aircraftand sports plane,Piston,1,1964-01-01,5238,,서비스중,1,1,,,761
BOMBARDIER,Bombardier BD-100 Challenger 300,CL30,,LandPlane,MEDIUM,Business jet,Jet,2,2001-08-14,,26.7,서비스중,2,9,20.9,6.2,5741
BOMBARDIER,Canadair Challenger,CL60,CCJ,LandPlane,MEDIUM,Business jet,Jet,2,1978-11-08,1066,32.4,서비스중,2,19,20.9,6.3,7408
CASA/IPTN,CASA / IPTN CN-235,CN35,CS5,LandPlane,MEDIUM,Transport aircraft/maritime patrol aircraft,Turboprop/Turboshaft,2,1983-11-11,284,34,서비스중,2,51,25.8,8.2,4355
CANADAIR,Canadair Regional Jet 700 / Regional Jet 550,CRJ7,CR7,LandPlane,MEDIUM,Regional jet,Jet,2,1999-05-27,346,41.4,서비스중,3,78,32.3,7.6,2553
CANADAIR,Canadair Regional Jet 900,CRJ9,CR9,LandPlane,MEDIUM,Regional jet,Jet,2,,436,46.5,서비스중,3,90,36.2,7.5,2876
CANADAIR,Canadair Regional Jet 1000,CRJX,CRK,LandPlane,MEDIUM,Regional jet,Jet,2,,63,49.5,서비스중,3,104,39.1,7.5,3004
CONVAIR,Convair CV-580 / CV-600 / CV-640,CVLT,CV5,LandPlane,MEDIUM,Airliner,Turboprop/Turboshaft,2,,,,서비스중,,,,,
DORNIER,Fairchild Dornier Do.228,D228,D28,LandPlane,LOW,Airliner,Turboprop/Turboshaft,2,1981-03-28,367,8.2,서비스중,2,19,16.6,4.9,396
DORNIER,Fairchild Dornier Do.328,D328,D38,LandPlane,MEDIUM,Airliner,Turboprop/Turboshaft,2,1991-12-06,217,9.8,서비스중,3,33,21.2,7.1,1852
DIAMOND,Diamond DA42,DA42,,LandPlane,LOW,Light twin-engined utility andtrainer aircraft,Piston,2,2002-12-09,600,0.6,서비스중,1,3,8.6,2.5,2250
DIAMOND,Diamond DA62,DA62,,LandPlane,LOW,Twin enginelight aircraft,Piston,2,2012-04-03,120,1.3,서비스중,1,6,9.2,2.8,2380
DOUGLAS,Douglas DC-10-10 / -15 Passenger,DC10,D11,LandPlane,HIGH,Wide-bodyjet airliner,Jet,3,1970-08-29,386,122,서비스중,3,270,55.6,17.5,6500
DOUGLAS,Douglas DC-3,DC3,D3F,LandPlane,MEDIUM,Airlinerand transport aircraft,Piston,2,1935-12-17,607,1.5,서비스중,2,32,19.7,5.2,126
DE HAVILLAND CANADA,DHC-8-100 Dash 8 / 8Q,DH8A,DH1,LandPlane,MEDIUM,Turboprop regional airliner,Turboprop/Turboshaft,2,1983-06-20,299,,서비스중,2,40,22.3,7.5,2084
DE HAVILLAND CANADA,DHC-8-200 Dash 8 / 8Q,DH8B,DH2,LandPlane,MEDIUM,Turboprop regional airliner,Turboprop/Turboshaft,2,,105,12,서비스중,2,40,22.3,7.5,2084
DE HAVILLAND CANADA,DHC-8-300 Dash 8 / 8Q,DH8C,DH3,LandPlane,MEDIUM,Turboprop regional airliner,Turboprop/Turboshaft,2,,267,14.3,서비스중,2,56,25.7,7.5,1711
DE HAVILLAND CANADA,DHC-8-400 Dash 8Q,DH8D,DH4,LandPlane,MEDIUM,Turboprop regional airliner,Turboprop/Turboshaft,2,,587,32.2,서비스중,2,90,32.8,8.4,2040
DE HAVILLAND CANADA,DHC-6 Twin Otter,DHC6,DHT,LandPlane,LOW,Utility aircraft,Turboprop/Turboshaft,2,1965-05-20,985,6.5,서비스중,2,20,15.1,5.9,1427
DE HAVILLAND CANADA,DHC-7 Dash 7,DHC7,DH7,LandPlane,MEDIUM,STOLregional airliner,Turboprop/Turboshaft,4,1975-03-27,113,,서비스중,2,50,24.6,8,1280
EMBRAER,RJ135,E135,ER3,LandPlane,MEDIUM,Twin-engineregional airliner,Jet,2,1995-08-11,1213,15,서비스중,3,37,26.3,6.8,1750
EMBRAER,RJ145,E145,ER4,LandPlane,MEDIUM,Twin-engineregional airliner,Jet,2,,,,서비스중,3,50,29.9,6.8,2000
EMBRAER,Embraer 170,E170,E70,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,2002-02-19,191,41,서비스중,2,72,29.9,9.9,3982
EMBRAER,Embraer 190,E190,E90,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,,564,56,서비스중,2,100,36.2,10.6,4537
EMBRAER,Embraer 195,E195,E95,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,,172,55,서비스중,2,116,38.7,10.6,4260
EMBRAER,Embraer E190-E2,E290,290,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,2016-05-23,23,53.6,서비스중,2,104,36.2,11,2850
EMBRAER,Embraer E195-E2,E295,295,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,,168,60.4,서비스중,2,132,41.5,10.9,2600
EMBRAER,Embraer Legacy 600 / Legacy 650,E35L,ER3,LandPlane,MEDIUM,Business jet,Jet,2,2001-03-31,283,25.9,서비스중,2,14,26.3,6.8,6297
EMBRAER,Embraer Phenom 100,E50P,EP1,LandPlane,LOW,Very light jet,Jet,2,2007-07-26,369,4.5,서비스중,1,7,12.8,4.4,2182
EMBRAER,Embraer Legacy 450 / Praetor 500,E545,,LandPlane,MEDIUM,Business jet,Jet,2,2013-12-28,43,16,서비스중,2,9,20,6.4,5371
EMBRAER,Embraer Legacy 500 / Praetor 600,E550,,LandPlane,MEDIUM,Business jet,Jet,2,2012-11-27,68,17,서비스중,2,12,20.7,6.4,5788
EMBRAER,Embraer Phenom 300,E55P,EP3,LandPlane,MEDIUM,Light business jet,Jet,2,,500,9.5,서비스중,2,6,15.9,5,3723
EMBRAER,Embraer 175 (long wing),E75L,E7W,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,,637,46,서비스중,2,78,31.7,9.9,4074
EUROCOPTER,EC225 Super Puma,EC25,,Helicopter,MEDIUM,Passenger transporthelicopter,Turboprop/Turboshaft,2,2000-11-27,170,28,서비스중,2,24,19.5,5,857
EUROCOPTER,EC135/EC635,EC35,,Helicopter,LOW,Lightutility helicopter,Turboprop/Turboshaft,2,1994-05-15,1300,,서비스중,1,7,10.2,3.5,635
EUROCOPTER,EC145,EC45,,Helicopter,LOW,Lightutility helicopter,Turboprop/Turboshaft,2,1999-06-12,1500,,서비스중,2,9,13,3.5,680
TECNAM,P92 Echo / P92 Eaglet / P92 SeaSky,ECHO,,LandPlane,LOW,Two-seat ultralight monoplane,Piston,1,1993-03-14,,0.1,서비스중,2,,6.4,2.5,800
EVEKTOR,EV-97 EuroStar / EV-97 Harmony,EV97,,LandPlane,LOW,Light Sport Aircraft,Piston,1,,,,서비스중,1,1,6,2.5,1300
EVEKTOR,SportStar,EVSS,,LandPlane,LOW,Light Sport Aircraft,Piston,1,,,,서비스중,1,1,6,2.5,1300
MD Helicopters,MD900 Explorer,EXPL,MD9,Helicopter,LOW,Light twin utility helicopter,Turboprop/Turboshaft,2,1992-12-18,,,서비스중,2,6,9.9,3.7,542
DASSAULT,Dassault Falcon 2000,F2TH,D20,LandPlane,MEDIUM,Business jet,Jet,2,1993-03-04,607,35.1,서비스중,2,19,20.2,7.1,6020
DASSAULT,Dassault Falcon 900,F900,DF9,LandPlane,MEDIUM,Business jet,Jet,3,1984-09-21,500,444.8,서비스중,2,19,20.2,1.9,7400
DASSAULT,Dassault Falcon 7X,FA7X,DF7,LandPlane,MEDIUM,Intercontinentalbusiness jet,Jet,3,2005-05-05,289,0.5,서비스중,3,16,23.4,7.8,11019
GULFSTREAM AEROSPACE,G-21A Goose,G21,GRG,Amphibian,LOW,Transportamphibious aircraft,Piston,2,1937-05-29,345,,서비스중,3,7,11.7,4.9,1030
GULFSTREAM AEROSPACE,Gulfstream G280,G280,GR3,LandPlane,MEDIUM,Business jet,Jet,2,2009-12-11,,24.5,서비스중,2,10,20.3,6.5,6667
GIPPSAERO,GippsAero GA-8 Airvan,GA8,,LandPlane,LOW,Utility aircraft/Transport,Piston,1,1995-03-03,240,0.9,서비스중,1,7,9,3.9,1352
BOMBARDIER,BD-700 Global 5500,GL5T,CCX,LandPlane,MEDIUM,Business jet,Jet,2,1996-10-13,816,46,서비스중,3,16,29.5,7.8,10556
BOMBARDIER,Global Express /Raytheon Sentinel,GLEX,CCX,LandPlane,MEDIUM,Airborne battlefield and ground surveillance aircraft,Jet,2,2004-05-26,5,,서비스중,5,,30.3,8.2,9249
GULFSTREAM AEROSPACE,Gulfstream V,GLF5,GJ5,LandPlane,MEDIUM,Business jet,Jet,2,1995-11-28,193,36,서비스중,2,19,29.4,8.2,10186
GULFSTREAM AEROSPACE,Gulfstream G650,GLF6,GJ6,LandPlane,MEDIUM,Business jet,Jet,2,2009-11-25,400,0.7,서비스중,2,19,30.4,7.7,13890
BRITISH AEROSPACE,British  125-1000 series,H25C,H25,LandPlane,MEDIUM,Mid-sizebusiness jet,Jet,2,1962-08-13,,,서비스중,2,8,15.4,5.3,3060
HONDA,HA-420,HDJT,,LandPlane,LOW,"Business jet, Very light jet",Jet,2,2003-12-03,150,,서비스중,2,7,13,4.5,2661
ILYUSHIN,Ilyushin Il-114,I114,I14,LandPlane,MEDIUM,TurbopropRegional airliner,Turboprop/Turboshaft,2,1990-03-29,20,,서비스중,2,64,26.9,9.2,1000
ILYUSHIN,Ilyushin IL76,IL76,IL7,LandPlane,HIGH,Strategic and tacticalairlifter,Jet,4,1971-03-25,960,,서비스중,5,,46.6,14.8,4000
ILYUSHIN,Ilyushin IL96,IL96,I93,LandPlane,HIGH,Widebodyjet airliner,Jet,4,1988-09-28,30,50,서비스중,3,436,63.9,15.7,10000
BRITISH AEROSPACE,British Aerospace Jetstream 32,JS32,J32,LandPlane,MEDIUM,Regional airliner,Turboprop/Turboshaft,2,1980-03-28,,,서비스중,2,19,14.4,5.3,1260
LET,LET 410,L410,L4T,LandPlane,LOW,"Regional airliner,cargo aircraft",Turboprop/Turboshaft,2,1969-04-16,1200,6.3,서비스중,2,19,14.4,6,510
McDonnell Douglas,McDonnell Douglas MD-81,MD81,M81,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,1979-10-18,132,,서비스중,2,155,45.1,9,3300
McDonnell Douglas,McDonnell Douglas MD-82,MD82,M82,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,1981-01-08,569,,서비스중,2,155,45.1,9,3800
McDonnell Douglas,McDonnell Douglas MD-83,MD83,M83,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,1984-12-17,265,,서비스중,2,155,45.1,9,4720
McDonnell Douglas,McDonnell Douglas MD-87,MD87,M87,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,1986-12-04,75,,서비스중,2,130,39.8,9.3,4400
McDonnell Douglas,McDonnell Douglas MD-88,MD88,M88,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,1987-08-15,150,,서비스중,2,155,45.1,9,4720
MIL,MIL Mi-24 / Mi-25 / Mi-35,MI24,,Helicopter,MEDIUM,Attack helicopterwithtransportcapabilities,Turboprop/Turboshaft,2,1969-09-19,2648,,서비스중,3,8,17.5,6.5,450
MIL,MIL Mi-8/Mi-17 / Mi-171 / Mi-172,MI8,MIH,Helicopter,MEDIUM,Transport helicopterwitharmed assaultcapabilities,Turboprop/Turboshaft,2,1975-01-01,12000,,서비스중,3,24,18.5,5.7,800
TECNAM,Tecnam P2006T,P06T,,LandPlane,LOW,Four-seat light twin,Piston,2,2007-09-13,578,0.4,서비스중,1,3,8.7,2.8,1374
PIAGGIO,Piaggio P.180 Avanti,P180,,LandPlane,LOW,Executive transport,Turboprop/Turboshaft,2,1986-09-23,236,,서비스중,1,9,14.4,4,2800
TECNAM,Tecnam P2008,P208,,LandPlane,LOW,Light aircraft,Piston,1,2008-09-30,,,서비스중,1,1,6.9,2.5,1277
TECNAM,P-2012 Traveller,P212,T12,LandPlane,LOW,,Piston,2,,,,서비스중,,,,,
Piper,PA-28(up to 180 hp),P28A,,LandPlane,LOW,Civilutility aircraft,Piston,1,1960-01-14,32778,0.5,서비스중,1,3,7.1,2.2,535
Piper,PA-28(above 200 hp),P28B,,LandPlane,LOW,Civilutility aircraft,Piston,1,,,,서비스중,1,3,7.1,2.2,535
PARTENAVIA,Partenavia P.68,P68,PN6,LandPlane,LOW,Light transport,Piston,2,1970-05-25,431,3,서비스중,1,6,9.6,3.4,2043
Piper,Piper PA-44 Seminole,PA44,,LandPlane,LOW,Trainingandpersonal aircraft,Piston,2,1978-01-01,926,0.7,서비스중,1,3,8.4,2.6,1695
Piper,Piper PA-46,PA46,PAG,LandPlane,LOW,Light aircraft,Piston,1,1979-11-30,,3.2,서비스중,2,6,8.6,3.4,2487
PILATUS,Pilatus PC-12,PC12,PL2,LandPlane,LOW,Passenger and cargo aircraft,Turboprop/Turboshaft,1,1991-05-31,1700,5.4,서비스중,2,9,14.4,4.3,3417
PIPISTREL,Pipistrel Sinus,PISI,,LandPlane,LOW,Ultralight Aircraft,Piston,1,1966-10-16,1000,0.1,서비스중,1,1,6.6,1.7,1200
PIPISTREL,Pipistrel Taurus,PITA,,LandPlane,LOW,Self-launchingsailplane,Piston,1,2004-01-01,,0.1,서비스중,1,1,7.3,1.4,
PIPISTREL,Pipistrel Virus,PIVI,,LandPlane,LOW,Ultralight civil utility aircraft,Piston,1,1999-08-10,1000,0.2,서비스중,1,1,6.5,1.9,1450
Robin,Alpha 2000,R200,,LandPlane,LOW,Multipurpose civil aircraft,Piston,1,1976-01-15,,,서비스중,2,,7.1,2.1,796
Avro, Avro RJ70,RJ70,AR7,LandPlane,MEDIUM,Airliner,Jet,4,,,,서비스중,2,82,26.2,8.6,3870
Avro,Avro RJ85,RJ85,AR8,LandPlane,MEDIUM,Airliner,Jet,4,,,,서비스중,2,100,28.6,8.6,3650
Sikorsky,Sikorsky S-61,S61,S61,Helicopter,MEDIUM,Medium-lifttransport/ airliner helicopte,Turboprop/Turboshaft,2,1959-03-11,119,,서비스중,2,30,18,5.3,833
EUROCOPTER,Eurocopter AS365 Dauphin,S65C,NDH,Helicopter,LOW,Mediumutility helicopter,Turboprop/Turboshaft,2,1975-01-24,1000,10,서비스중,2,12,13.7,4.1,827
SIKORSKY,Sikorsky S-76,S76,S76,Helicopter,LOW,Utility helicopter,Turboprop/Turboshaft,2,1977-03-13,1090,15,서비스중,2,13,16,4.4,761
SIKORSKY,Sikorsky S-92,S92,S92,Helicopter,MEDIUM,Medium-lift transport/utility helicopter,Turboprop/Turboshaft,2,1998-12-23,300,,서비스중,2,19,20.9,4.7,998
CIRRUS,SF50 Vision Jet,SF50,,LandPlane,LOW,Very light jet,Jet,1,2008-07-03,170,2.8,서비스중,1,6,9.4,3.3,1100
SHORT,Short 360,SH36,SH6,LandPlane,MEDIUM,Transport aircraft,Turboprop/Turboshaft,2,1981-06-01,165,,서비스중,3,36,21.6,7.2,1595
TECNAM,Tecnam P2002 Sierra,SIRA,,LandPlane,LOW,Two-seat light single,Piston,1,,,0.1,서비스중,1,1,6.6,2.3,
SUKHOI,Sukhoi Superjet 100,SU95,SU9,LandPlane,MEDIUM,Regional jet,Jet,2,2008-05-19,172,50.1,서비스중,2,108,29.9,10.3,3048
TUPOLEV,Tupolev Tu-204 / Tu-214,T204,T20,LandPlane,MEDIUM,Narrow-bodyjet airliner,Jet,2,1989-01-02,86,35,서비스중,3,210,46.1,13.9,4340
TL ULTRALIGHT,TL Ultralight TL-96 Star,TL20,,LandPlane,LOW,Two side by side seat ultralight,Piston,1,1997-11-01,,,서비스중,2,,6.5,2.1,1000
TEAM ROCKET,F-1,TRF1,,LandPlane,LOW,,Piston,1,,,,서비스중,,,,,
TECNAM,Tecnam P2010,TWEN,,LandPlane,LOW,Four seatlight aircraft,Piston,1,2012-04-12,25,0.3,서비스중,4,,8,2.6,1222
IAI,IAI Westwind,WW24,WWP,LandPlane,MEDIUM,Business jet,Jet,2,1963-01-27,442,3,서비스중,2,7,16,4.8,4430
HARBIN,Yunshuji Y12,Y12,YN2,LandPlane,LOW,Twin-engine turboproputility aircraft,Turboprop/Turboshaft,2,1982-07-14,,3,서비스중,2,17,14.9,5.6,1340
YAKOVLEV,Yakovlev Yak-40,YK40,YK4,LandPlane,MEDIUM,Regional jet/ VIP transport,Jet,3,1966-10-21,1011,1,서비스중,3,32,20.4,6.5,1800
YAKOVLEV,Yakovlev Yak-42,YK42,YK2,LandPlane,MEDIUM,Narrow-bodyJet airliner,Jet,3,1975-03-07,185,,서비스중,3,120,36.4,9.8,4000
